task_id,level
9c1e755f,dummy
9c56f360,dummy
9caba7c3,dummy
9ddd00f0,dummy
9def23fe,dummy
9f27f097,dummy
a04b2602,dummy
a096bf4d,dummy
a3f84088,dummy
a406ac07,dummy
a57f2f04,dummy
a59b95c0,dummy
a680ac02,dummy
a8610ef7,dummy
a934301b,dummy
aa18de87,dummy
aa300dc3,dummy
aa4ec2a5,dummy
aab50785,dummy
ac0c5833,dummy
ac2e8ecf,dummy
ac3e2b04,dummy
ac605cbb,dummy
ad7e01d0,dummy
ae58858e,dummy
aee291af,dummy
af22c60d,dummy
af24b4cc,dummy
b0722778,dummy
b0f4d537,dummy
b15fca0b,dummy
b1fc8b8e,dummy
b20f7c8b,dummy
b457fec5,dummy
b4a43f3b,dummy
b7999b51,dummy
b7cb93ac,dummy
b7f8a4d8,dummy
b7fb29bc,dummy
b942fd60,dummy
b9630600,dummy
ba9d41b8,dummy
baf41dbf,dummy
bb52a14b,dummy
bbb1b8b6,dummy
bc4146bd,dummy
bcb3040b,dummy
bd14c3bf,dummy
be03b35f,dummy
bf32578f,dummy
bf699163,dummy
bf89d739,dummy
c074846d,dummy
c1990cce,dummy
c3202e5a,dummy
c35c1b4c,dummy
c48954c1,dummy
c62e2108,dummy
c64f1187,dummy
c658a4bd,dummy
c663677b,dummy
c6e1b8da,dummy
c7d4e6ad,dummy
c87289bb,dummy
c8b7cc0f,dummy
c92b942c,dummy
c97c0139,dummy
ca8de6ea,dummy
ca8f78db,dummy
cad67732,dummy
cb227835,dummy
ccd554ac,dummy
cd3c21df,dummy
ce039d91,dummy
ce8d95cc,dummy
cf133acc,dummy
cfb2ce5a,dummy
d017b73f,dummy
d19f7514,dummy
d282b262,dummy
